id,created_at,type,code,input,output
be2c4a0a-da3f-4ace-9793-7484954ac2e5,2022-03-15 05:18:52.124587,sync-service,err,"{""type"": ""sync-service"", ""account_id"": 11, ""company_id"": ""6eee8080-ed0d-43f1-809e-22ce63b2603a"", ""segment_id"": ""135ab796-113d-4aef-a6d2-e43049e7b513"", ""maintenance_type_id"": ""a6ec2be4-d01b-4fc1-bc53-8d9ec0ba42d1""}","{""body"": {""code"": ""err"", ""errorMessage"": ""Cannot read property 'id' of undefined"", ""sentryEventId"": ""ebe1fa0deb874068ae898090cc26e1ca""}, ""statusCode"": 400}"
63f5b5b6-9d49-4f0b-8660-6f68f459a5b8,2022-03-15 05:18:53.661722,sync-service,err,"{""type"": ""sync-service"", ""account_id"": 11, ""company_id"": ""6eee8080-ed0d-43f1-809e-22ce63b2603a"", ""segment_id"": ""135ab796-113d-4aef-a6d2-e43049e7b513"", ""maintenance_type_id"": ""7b2b75bc-2869-4e27-8c39-0ac32d8df932""}","{""body"": {""code"": ""err"", ""errorMessage"": ""Cannot read property 'id' of undefined"", ""sentryEventId"": ""101a12b378a5425e9bfb2da27c50f31d""}, ""statusCode"": 400}"
f69326f9-4a4a-4d21-866c-cbf6cb82f459,2022-03-15 05:19:58.460264,sync-service,err,"{""type"": ""sync-service"", ""account_id"": 11, ""company_id"": ""6eee8080-ed0d-43f1-809e-22ce63b2603a"", ""segment_id"": ""135ab796-113d-4aef-a6d2-e43049e7b513"", ""maintenance_type_id"": ""a6ec2be4-d01b-4fc1-bc53-8d9ec0ba42d1""}","{""body"": {""code"": ""err"", ""errorMessage"": ""Cannot read property 'id' of undefined"", ""sentryEventId"": ""07c2fade34e541a7a0bb724f7b5cfd22""}, ""statusCode"": 400}"
01bf6f91-cbe9-4e61-918f-f613d0875323,2022-03-15 05:20:07.517996,sync-service,err,"{""type"": ""sync-service"", ""account_id"": 11, ""company_id"": ""6eee8080-ed0d-43f1-809e-22ce63b2603a"", ""segment_id"": ""135ab796-113d-4aef-a6d2-e43049e7b513"", ""maintenance_type_id"": ""a6ec2be4-d01b-4fc1-bc53-8d9ec0ba42d1""}","{""body"": {""code"": ""err"", ""errorMessage"": ""Cannot read property 'id' of undefined"", ""sentryEventId"": ""bebcb60c168e4da98c6c2d209bcc23f0""}, ""statusCode"": 400}"
7b75928e-16c2-4650-929f-391365e2b84e,2022-03-15 05:20:54.51507,sync-service,err,"{""type"": ""sync-service"", ""account_id"": 11, ""company_id"": ""6eee8080-ed0d-43f1-809e-22ce63b2603a"", ""segment_id"": ""135ab796-113d-4aef-a6d2-e43049e7b513"", ""maintenance_type_id"": ""a6ec2be4-d01b-4fc1-bc53-8d9ec0ba42d1""}","{""body"": {""code"": ""err"", ""errorMessage"": ""Cannot read property 'id' of undefined"", ""sentryEventId"": ""e8aa1742b4f14b48873ea1811822bc0f""}, ""statusCode"": 400}"
f452e7be-5e04-4d5f-b50b-f7b4e69558f9,2022-03-15 05:21:06.779087,sync-service,err,"{""type"": ""sync-service"", ""account_id"": 11, ""company_id"": ""6eee8080-ed0d-43f1-809e-22ce63b2603a"", ""segment_id"": ""135ab796-113d-4aef-a6d2-e43049e7b513"", ""maintenance_type_id"": ""7b2b75bc-2869-4e27-8c39-0ac32d8df932""}","{""body"": {""code"": ""err"", ""errorMessage"": ""Cannot read property 'id' of undefined"", ""sentryEventId"": ""7f6ccd8bfdb44f97985c95837e66bb4f""}, ""statusCode"": 400}"
ca5bee53-3d8c-44c1-87ed-2e5800eb2613,2022-03-15 05:21:22.727001,sync-service,err,"{""type"": ""sync-service"", ""account_id"": 11, ""company_id"": ""6eee8080-ed0d-43f1-809e-22ce63b2603a"", ""segment_id"": ""135ab796-113d-4aef-a6d2-e43049e7b513"", ""maintenance_type_id"": ""7b2b75bc-2869-4e27-8c39-0ac32d8df932""}","{""body"": {""code"": ""err"", ""errorMessage"": ""Cannot read property 'id' of undefined"", ""sentryEventId"": ""fa7c7291be0a4a80abda42ac8f098ba3""}, ""statusCode"": 400}"
35f15ab8-8b6c-4907-b2f5-eab4c86c4728,2022-03-15 05:21:26.46925,sync-service,err,"{""type"": ""sync-service"", ""account_id"": 11, ""company_id"": ""6eee8080-ed0d-43f1-809e-22ce63b2603a"", ""segment_id"": ""135ab796-113d-4aef-a6d2-e43049e7b513"", ""maintenance_type_id"": ""7b2b75bc-2869-4e27-8c39-0ac32d8df932""}","{""body"": {""code"": ""err"", ""errorMessage"": ""Cannot read property 'id' of undefined"", ""sentryEventId"": ""69cf24c40f35448283aed40aba5e7a65""}, ""statusCode"": 400}"
f0eb4c6f-2454-4092-8268-ab972b5405a5,2022-03-15 05:23:34.767641,sync-service,err,"{""type"": ""sync-service"", ""account_id"": 11, ""company_id"": ""6eee8080-ed0d-43f1-809e-22ce63b2603a"", ""segment_id"": ""135ab796-113d-4aef-a6d2-e43049e7b513"", ""maintenance_type_id"": ""7b2b75bc-2869-4e27-8c39-0ac32d8df932""}","{""body"": {""code"": ""err"", ""errorMessage"": ""Cannot read property 'id' of undefined"", ""sentryEventId"": ""f5f3328c28aa43b59859f4e57c045083""}, ""statusCode"": 400}"
d8b6cd39-291e-4b43-bd4c-6072331a8f77,2022-03-15 05:23:52.114572,sync-service,err,"{""type"": ""sync-service"", ""account_id"": 11, ""company_id"": ""6eee8080-ed0d-43f1-809e-22ce63b2603a"", ""segment_id"": ""135ab796-113d-4aef-a6d2-e43049e7b513"", ""maintenance_type_id"": ""a6ec2be4-d01b-4fc1-bc53-8d9ec0ba42d1""}","{""body"": {""code"": ""err"", ""errorMessage"": ""Cannot read property 'id' of undefined"", ""sentryEventId"": ""4448108b429049c796a0dd3d2deba646""}, ""statusCode"": 400}"
